name,mentions,images,evidence_lines,raca,classe,genero,orientacao_sexual,fonte_raca,fonte_classe,fonte_genero,fonte_orientacao_sexual
Enrique Dussel,4,"['Screenshot_20251218_075429_Instagram.jpg', 'Screenshot_20251218_075434_Instagram.jpg']",['Enrique Dussel'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Vladimir Safatle,4,"['Screenshot_20251218_075412_Instagram.jpg', 'Screenshot_20251218_075421_Instagram.jpg', 'Screenshot_20251218_075431_Instagram.jpg', 'Screenshot_20251218_075437_Instagram.jpg']",['Vladimir Safatle'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Frantz Fanon,3,"['Screenshot_20251218_075415_Instagram.jpg', 'Screenshot_20251218_075418_Instagram.jpg']",['Frantz Fanon'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Ranajit Guha,3,"['Screenshot_20251218_075421_Instagram.jpg', 'Screenshot_20251218_075426_Instagram.jpg']",['Ranajit Guha'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Roberto Schwarz,3,"['Screenshot_20251218_075415_Instagram.jpg', 'Screenshot_20251218_075421_Instagram.jpg']",['Roberto Schwarz'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Aníbal Quijano,2,"['Screenshot_20251218_075429_Instagram.jpg', 'Screenshot_20251218_075437_Instagram.jpg']",['Aníbal Quijano'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Carl Schmitt,2,"['Screenshot_20251218_075406_Instagram.jpg', 'Screenshot_20251218_075412_Instagram.jpg']",['Carl Schmitt'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Edward W Said,2,"['Screenshot_20251218_075423_Instagram.jpg', 'Screenshot_20251218_075426_Instagram.jpg']",['Edward W Said'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
G Hegel,2,['Screenshot_20251218_075409_Instagram.jpg'],['G Hegel'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
Gayatri Chakravorty Spivak,2,"['Screenshot_20251218_075423_Instagram.jpg', 'Screenshot_20251218_075426_Instagram.jpg']",['Gayatri Chakravorty Spivak'],desconhecido,desconhecido,desconhecido,desconhecido,,,,
