name,mentions,images,evidence_lines,raca,classe,genero,orientacao_sexual,fonte_raca,fonte_classe,fonte_genero,fonte_orientacao_sexual,wikidata_qid,wikidata_label,wikidata_description,wikidata_score,wikidata_url,wikipedia_pt,wikipedia_en,wikidata_query,ocupacoes_wikidata,classe_ocupacional
Enrique Dussel,4,"['Screenshot_20251218_075429_Instagram.jpg', 'Screenshot_20251218_075434_Instagram.jpg']",['Enrique Dussel'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q473518,,Q473518,Enrique Dussel,Argentine-Mexican philosopher,,https://www.wikidata.org/wiki/Q473518,https://pt.wikipedia.org/wiki/Enrique_Dussel,https://en.wikipedia.org/wiki/Enrique_Dussel,Enrique Dussel,historiador da religião; teólogo; filósofo; professor universitário; historiador,academia/intelectual
Vladimir Safatle,4,"['Screenshot_20251218_075412_Instagram.jpg', 'Screenshot_20251218_075421_Instagram.jpg', 'Screenshot_20251218_075431_Instagram.jpg', 'Screenshot_20251218_075437_Instagram.jpg']",['Vladimir Safatle'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q10392247,,Q10392247,Vladimir Safatle,filósofo brasileiro,,https://www.wikidata.org/wiki/Q10392247,https://pt.wikipedia.org/wiki/Vladimir_Safatle,https://en.wikipedia.org/wiki/Vladimir_Safatle,Vladimir Safatle,filósofo; colunista; professor universitário,academia/intelectual
Frantz Fanon,3,"['Screenshot_20251218_075415_Instagram.jpg', 'Screenshot_20251218_075418_Instagram.jpg']",['Frantz Fanon'],negro,desconhecido,masculino,desconhecido,https://www.wikidata.org/wiki/Q193670,,https://www.wikidata.org/wiki/Q193670,,Q193670,Frantz Fanon,psiquiatra e filósofo político marxista francês,,https://www.wikidata.org/wiki/Q193670,https://pt.wikipedia.org/wiki/Frantz_Fanon,https://en.wikipedia.org/wiki/Frantz_Fanon,Frantz Fanon,escritor; filósofo; psiquiatra; ensaísta; sociólogo,academia/intelectual
Ranajit Guha,3,"['Screenshot_20251218_075421_Instagram.jpg', 'Screenshot_20251218_075426_Instagram.jpg']",['Ranajit Guha'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q475026,,Q475026,Ranajit Guha,Indian historian(Professor),,https://www.wikidata.org/wiki/Q475026,https://pt.wikipedia.org/wiki/Ranajit_Guha,https://en.wikipedia.org/wiki/Ranajit_Guha,Ranajit Guha,autor; historiador,academia/intelectual
Roberto Schwarz,3,"['Screenshot_20251218_075415_Instagram.jpg', 'Screenshot_20251218_075421_Instagram.jpg']",['Roberto Schwarz'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q525692,,Q525692,Roberto Schwarz,Brazilian journalist and author,,https://www.wikidata.org/wiki/Q525692,https://pt.wikipedia.org/wiki/Roberto_Schwarz,,Roberto Schwarz,jornalista; professor universitário; escritor; crítico literário,academia/intelectual
Aníbal Quijano,2,"['Screenshot_20251218_075429_Instagram.jpg', 'Screenshot_20251218_075437_Instagram.jpg']",['Aníbal Quijano'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q1432523,,Q1432523,Aníbal Quijano,sociólogo peruano,,https://www.wikidata.org/wiki/Q1432523,https://pt.wikipedia.org/wiki/Aníbal_Quijano,https://en.wikipedia.org/wiki/Aníbal_Quijano,Aníbal Quijano,sociólogo,outros
Carl Schmitt,2,"['Screenshot_20251218_075406_Instagram.jpg', 'Screenshot_20251218_075412_Instagram.jpg']",['Carl Schmitt'],alemães,desconhecido,masculino,desconhecido,https://www.wikidata.org/wiki/Q77148,,https://www.wikidata.org/wiki/Q77148,,Q77148,Carl Schmitt,professor académico alemão,,https://www.wikidata.org/wiki/Q77148,https://pt.wikipedia.org/wiki/Carl_Schmitt,https://en.wikipedia.org/wiki/Carl_Schmitt,Carl Schmitt,jurista; geopolitical analyst; político,política/militância
Edward W Said,2,"['Screenshot_20251218_075423_Instagram.jpg', 'Screenshot_20251218_075426_Instagram.jpg']",['Edward W Said'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q201538,,Q201538,Edward Said,Palestinian-American professor (1935–2003),,https://www.wikidata.org/wiki/Q201538,https://pt.wikipedia.org/wiki/Edward_Said,https://en.wikipedia.org/wiki/Edward_Said,Edward Said,escritor; crítico literário; jornalista; filósofo; musicólogo,academia/intelectual
G Hegel,2,['Screenshot_20251218_075409_Instagram.jpg'],['G Hegel'],alemães,desconhecido,masculino,desconhecido,https://www.wikidata.org/wiki/Q9235,,https://www.wikidata.org/wiki/Q9235,,Q9235,Hegel,filósofo e teólogo alemão (1770–1831),,https://www.wikidata.org/wiki/Q9235,https://pt.wikipedia.org/wiki/Georg_Wilhelm_Friedrich_Hegel,https://en.wikipedia.org/wiki/Georg_Wilhelm_Friedrich_Hegel,Georg Wilhelm Friedrich Hegel,filósofo; professor universitário; historiador da filosofia; escritor; Jusfilósofo,academia/intelectual
Gayatri Chakravorty Spivak,2,"['Screenshot_20251218_075423_Instagram.jpg', 'Screenshot_20251218_075426_Instagram.jpg']",['Gayatri Chakravorty Spivak'],desconhecido,desconhecido,feminino,desconhecido,,,https://www.wikidata.org/wiki/Q240851,,Q240851,Gayatri Chakravorty Spivak,"Acadêmica indiana, teórica literária, e crítica feminista",,https://www.wikidata.org/wiki/Q240851,https://pt.wikipedia.org/wiki/Gayatri_Chakravorty_Spivak,https://en.wikipedia.org/wiki/Gayatri_Chakravorty_Spivak,Gayatri Chakravorty Spivak,escritor; filósofo; professor universitário; tradutor; crítico literário,academia/intelectual
Karl Marx,2,"['Screenshot_20251218_075412_Instagram.jpg', 'Screenshot_20251218_075421_Instagram.jpg']",['Karl Marx'],Asquenazes,desconhecido,masculino,desconhecido,https://www.wikidata.org/wiki/Q9061,,https://www.wikidata.org/wiki/Q9061,,Q9061,Karl Marx,filósofo alemão (1818–1883),,https://www.wikidata.org/wiki/Q9061,https://pt.wikipedia.org/wiki/Karl_Marx,https://en.wikipedia.org/wiki/Karl_Marx,Karl Marx,economista; jornalista; historiador; filósofo; sociólogo,academia/intelectual
Maurizio Lazzarato,2,['Screenshot_20251218_075418_Instagram.jpg'],['Maurizio Lazzarato'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q948834,,Q948834,Maurizio Lazzarato,French sociologist (born 1955),,https://www.wikidata.org/wiki/Q948834,https://pt.wikipedia.org/wiki/Maurizio_Lazzarato,https://en.wikipedia.org/wiki/Maurizio_Lazzarato,Maurizio Lazzarato,sociólogo; filósofo; teórico; escritor,academia/intelectual
